Nombre,Partido,Presidente,fecha_start,fecha_end,cartera
Elías Malpartida Franco,Partido Demócrata,Guillermo Billinghurst Angulo,1912-09-24,1912-12-23,PCM
Enrique Varela Vidaurre,Militar,Guillermo Billinghurst Angulo,1912-12-24,1913-02-24,PCM
Federico Luna y Peralta,,Guillermo Billinghurst Angulo,1913-02-24,1913-06-17,PCM
Aurelio Sousa y Matute,,Guillermo Billinghurst Angulo,1913-06-17,1913-07-27,PCM
Enrique Varela Vidaurre,Militar,Guillermo Billinghurst Angulo,1913-07-27,1914-02-04,PCM
Pedro E. Muñiz Sevilla,Militar,Óscar R. Benavides (I),1914-05-16,1914-08-01,PCM
Melitón Carvajal Ambulodegui,Marino (r),Óscar R. Benavides (I),1914-08-01,1914-08-22,PCM
Aurelio Sousa y Matute,Partido Demócrata,Óscar R. Benavides (I),1914-08-22,1914-11-11,PCM
Germán Schreiber Waddington,Partido Civil,Óscar R. Benavides (I),1914-11-11,1915-02-19,PCM
Carlos Isaac Abril Galindo,,Óscar R. Benavides (I),1915-02-19,1915-08-18,PCM
Enrique de la Riva Agüero,Partido Civil,José Pardo y Barreda (II),1915-08-18,1917-07-27,PCM
Francisco Tudela y Varela,Partido Civil,José Pardo y Barreda (II),1917-07-27,1918-12-18,PCM
Germán Arenas y Loayza,Partido Civil,José Pardo y Barreda (II),1918-12-18,1919-04-28,PCM
Juan Manuel Zuloaga,Militar,José Pardo y Barreda (II),1919-04-28,1919-07-04,PCM
Mariano Cornejo Zenteno,,Augusto Leguía,1919-07-04,1919-08-25,PCM
Melitón F. Porras Osores,,Augusto Leguía,1919-08-25,1919-12-06,PCM
Germán Leguía y Martínez,Partido Democrático Reformista,Augusto Leguía,1919-12-06,1922-10-07,PCM
Julio Ego-Aguirre Dongo,Partido Democrático Reformista,Augusto Leguía,1922-10-07,1924-10-12,PCM
Alejandrino Maguiña,Partido Democrático Reformista,Augusto Leguía,1924-10-12,1926-12-07,PCM
Pedro José Rada y Gamio,Partido Democrático Reformista,Augusto Leguía,1926-12-07,1929-10-12,PCM
Benjamín Huamán de los Heros,Partido Democrático Reformista,Augusto Leguía,1929-10-12,1930-08-24,PCM
Fernando Sarmiento Ramírez,Militar,Augusto Leguía,1930-08-24,1930-08-25,PCM
Gustavo Jiménez Saldías,Militar,Luis Miguel Sánchez Cerro,1930-08-28,1930-11-24,PCM
Antonio Beingolea Balarezo,Marino,Luis Miguel Sánchez Cerro,1930-11-24,1931-03-01,PCM
David Samanez Ocampo,,Junta Nacional de Gobierno,1931-03-11,1931-12-08,PCM
Germán Arenas y Loayza,,Luis Miguel Sánchez Cerro,1931-12-08,1932-01-28,PCM
Francisco R. Lanatta Ramírez,Unión Revolucionaria,Luis Miguel Sánchez Cerro,1932-01-28,1932-04-13,PCM
Luis A. Flores Medina,Unión Revolucionaria,Luis Miguel Sánchez Cerro,1932-04-13,1932-05-20,PCM
Ricardo Rivadeneira Barnuevo,,Luis Miguel Sánchez Cerro,1932-05-20,1932-09-10,PCM
Carlos Zavala Loayza,Independiente,Luis Miguel Sánchez Cerro,1932-09-10,1932-12-22,PCM
José Matías Manzanilla Barrientos,Unión Revolucionaria,Luis Miguel Sánchez Cerro,1932-12-24,1933-04-30,PCM
José Matías Manzanilla Barrientos (continuación),,Óscar R. Benavides (II),1933-04-30,1933-06-29,PCM
Jorge Prado Ugarteche,,Óscar R. Benavides (II),1933-06-29,1933-11-24,PCM
José de la Riva-Agüero y Osma,Partido Nacional Democrático,Óscar R. Benavides (II),1933-11-24,1934-05-18,PCM
Alberto Rey de Castro y Romaña,,Óscar R. Benavides (II),1934-05-18,1934-12-24,PCM
Carlos Arenas y Loayza,,Óscar R. Benavides (II),1934-12-24,1935-05-18,PCM
Manuel E. Rodríguez Dávila,Militar,Óscar R. Benavides (II),1935-05-18,1936-04-13,PCM
Ernesto Montagne Markholz,Militar,Óscar R. Benavides (II),1936-04-13,1939-04-19,PCM
Manuel Ugarteche Jiménez,,Óscar R. Benavides (II),1939-04-20,1939-12-08,PCM
Alfredo Solf y Muro,,Manuel Prado Ugarteche (I),1939-12-08,1944-12-03,PCM
Julio East Treviño,,Manuel Prado Ugarteche (I),1944-12-09,1945-07-28,PCM
Rafael Belaúnde Diez Canseco,Frente Democrático Nacional,José Luis Bustamante y Rivero,1945-07-28,1946-01-31,PCM
Julio Ernesto Portugal Escobedo,Frente Democrático Nacional,José Luis Bustamante y Rivero,1946-01-31,1947-01-12,PCM
José R. Alzamora Freundt,Marino,José Luis Bustamante y Rivero,1947-01-12,1947-10-30,PCM
Roque Saldías Maninat,Marino,José Luis Bustamante y Rivero,1947-10-30,1948-06-17,PCM
Armando Revoredo Iglesias,Aviador,José Luis Bustamante y Rivero,1948-06-17,1948-10-27,PCM
Zenón Noriega Agüero,Militar,Manuel A. Odría,1950-07-28,1954-08-09,PCM
Roque Saldías Maninat,Marino,Manuel A. Odría,1954-08-09,1956-07-15,PCM
Juan Mendoza Rodríguez,Militar,Manuel A. Odría,1956-07-15,1956-07-28,PCM
Manuel Cisneros Sánchez,Movimiento Democrático Peruano,Manuel Prado Ugarteche (II),1956-07-28,1958-06-09,PCM
Luis Gallo Porras,Movimiento Democrático Peruano,Manuel Prado Ugarteche (II),1958-06-09,1959-07-17,PCM
Pedro Beltrán Espantoso,Independiente,Manuel Prado Ugarteche (II),1959-07-17,1961-11-24,PCM
Carlos Moreyra y Paz Soldán,Movimiento Democrático Peruano,Manuel Prado Ugarteche (II),1961-11-24,1962-07-18,PCM
Nicolás Eduardo Lindley López,Militar,Ricardo Pérez Godoy,1962-07-18,1963-07-28,PCM
Julio Óscar Trelles Montes,Acción Popular,Fernando Belaúnde Terry (I),1963-07-28,1963-12-31,PCM
Fernando Schwalb López-Aldana,Acción Popular,Fernando Belaúnde Terry (I),1963-12-31,1965-09-15,PCM
Daniel Becerra de la Flor,Acción Popular,Fernando Belaúnde Terry (I),1965-09-15,1967-09-06,PCM
Edgardo Seoane Corrales,Acción Popular,Fernando Belaúnde Terry (I),1967-09-06,1967-11-17,PCM
Raúl Ferrero Rebagliati,Partido Demócrata Cristiano,Fernando Belaúnde Terry (I),1967-11-17,1968-05-30,PCM
Oswaldo Hercelles García,Independiente,Fernando Belaúnde Terry (I),1968-05-30,1968-10-02,PCM
Miguel Mujica Gallo,Independiente,Fernando Belaúnde Terry (I),1968-10-02,1968-10-03,PCM
Ernesto Montagne Sánchez,Militar,Juan Velasco Alvarado,1968-10-03,1973-01-31,PCM
Edgardo Mercado Jarrín,Militar,Juan Velasco Alvarado,1973-01-31,1975-02-01,PCM
Francisco Morales-Bermúdez Cerrutti,Militar,Juan Velasco Alvarado,1975-02-01,1975-08-30,PCM
Óscar Vargas Prieto,Militar,Francisco Morales Bermúdez,1975-08-30,1976-01-31,PCM
Jorge Fernández-Maldonado Solari,Militar,Francisco Morales Bermúdez,1976-01-31,1976-07-16,PCM
Guillermo Arbulú Galliani,Militar,Francisco Morales Bermúdez,1976-07-16,1978-01-30,PCM
Óscar Molina Pallochia,Militar,Francisco Morales Bermúdez,1978-01-30,1979-01-31,PCM
Pedro Richter Prada,Militar,Francisco Morales Bermúdez,1979-01-30,1980-07-27,PCM
Manuel Ulloa Elías,Acción Popular,Fernando Belaúnde Terry (II),1980-07-28,1982-12-09,PCM
Fernando Schwalb López-Aldana,Acción Popular,Fernando Belaúnde Terry (II),1982-12-09,1984-04-10,PCM
Sandro Mariátegui Chiappe,Acción Popular,Fernando Belaúnde Terry (II),1984-04-10,1984-10-13,PCM
Luis Pércovich Roca,Acción Popular,Fernando Belaúnde Terry (II),1984-10-13,1985-07-27,PCM
Luis Alva Castro,Partido Aprista Peruano,Alan García,1985-07-28,1987-06-26,PCM
Guillermo Larco Cox,Partido Aprista Peruano,Alan García,1987-06-27,1988-05-13,PCM
Armando Villanueva del Campo,Partido Aprista Peruano,Alan García,1988-05-13,1989-05-15,PCM
Luis Alberto Sánchez Sánchez,Partido Aprista Peruano,Alan García,1989-05-15,1989-09-30,PCM
Guillermo Larco Cox,Partido Aprista Peruano,Alan García,1989-09-30,1990-07-27,PCM
Juan Carlos Hurtado Miller,Independiente[8],Alberto Fujimori,1990-07-28,1991-02-20,PCM
Carlos Torres y Torres Lara,Independiente,Alberto Fujimori,1991-02-15,1991-11-06,PCM
Alfonso de los Heros Pérez-Albela,Independiente,Alberto Fujimori,1991-11-06,1992-04-06,PCM
Óscar de la Puente Raygada,Independiente,Alberto Fujimori,1992-04-06,1993-08-28,PCM
Alfonso Bustamante y Bustamante,Cambio 90,Alberto Fujimori,1993-08-28,1994-02-17,PCM
Efraín Goldenberg Schreiber,Cambio 90,Alberto Fujimori,1994-02-17,1995-07-28,PCM
Dante Córdova Blanco,Cambio 90 - Nueva Mayoría,Alberto Fujimori,1995-07-27,1996-04-03,PCM
Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,Alberto Fujimori,1996-04-03,1998-06-04,PCM
Javier Valle-Riestra González-Olaechea,Partido Aprista Peruano,Alberto Fujimori,1998-06-04,1998-08-21,PCM
Alberto Pandolfi Arbulú,Cambio 90 - Nueva Mayoría,Alberto Fujimori,1998-08-21,1999-06-04,PCM
Víctor Joy Way Rojas,Cambio 90 - Nueva Mayoría,Alberto Fujimori,1999-01-03,1999-10-10,PCM
Alberto Bustamante Belaúnde,Independiente,Alberto Fujimori,1999-10-10,2000-07-29,PCM
Federico Salas-Guevara Schultz,Independiente,Alberto Fujimori,2000-07-29,2000-11-21,PCM
Javier Pérez de Cuéllar de la Guerra,Unión por el Perú,Valentín Paniagua,2000-11-22,2001-07-28,PCM
Roberto Dañino Zapata,Independiente,Alejandro Toledo,2001-07-28,2002-07-11,PCM
Luis Solari de la Fuente,Perú Posible,Alejandro Toledo,2002-07-12,2003-06-23,PCM
Beatriz Merino Lucero,Independiente,Alejandro Toledo,2003-06-23,2003-12-12,PCM
Carlos Ferrero Costa,Perú Posible,Alejandro Toledo,2003-12-15,2005-08-15,PCM
Pedro Pablo Kuczynski Godard,Independiente,Alejandro Toledo,2005-08-16,2006-07-28,PCM
Jorge del Castillo Gálvez,Partido Aprista Peruano,Alan García,2006-07-28,2008-10-10,PCM
Yehude Simon Munaro,Partido Humanista Peruano,Alan García,2008-10-14,2009-07-11,PCM
Javier Velásquez Quesquén,Partido Aprista Peruano,Alan García,2009-07-11,2010-09-13,PCM
José Antonio Chang Escobedo,Independiente,Alan García,2010-09-14,2011-03-18,PCM
Rosario Fernández Figueroa,Independiente,Alan García,2011-03-19,2011-07-28,PCM
Salomón Lerner Ghitis,Independiente,Ollanta Humala,2011-07-28,2011-12-10,PCM
Óscar Valdés Dancuart,Independiente,Ollanta Humala,2011-12-10,2012-07-23,PCM
Juan Jiménez Mayor,Independiente,Ollanta Humala,2012-07-23,2013-10-29,PCM
César Villanueva Arévalo,Independiente,Ollanta Humala,2013-10-31,2014-02-24,PCM
René Cornejo Díaz,Independiente,Ollanta Humala,2014-02-24,2014-07-22,PCM
Ana Jara Velásquez,Partido Nacionalista Peruano,Ollanta Humala,2014-07-22,2015-04-02,PCM
Pedro Cateriano Bellido,Independiente,Ollanta Humala,2015-04-02,2016-07-28,PCM
Fernando Zavala Lombardi,Independiente,Pedro Pablo Kuczynski,2016-07-28,2017-09-15,PCM
Mercedes Aráoz Fernández,Peruanos por el Kambio,Pedro Pablo Kuczynski,2017-09-17,2018-03-23,PCM
Mercedes Aráoz Fernández,Peruanos por el Kambio,Martín Vizcarra,2018-03-23,2018-04-02,PCM
César Villanueva Arévalo,Alianza para el Progreso,Martín Vizcarra,2018-04-02,2019-03-08,PCM
Salvador del Solar Labarthe,Independiente,Martín Vizcarra,2019-03-11,2019-09-30,PCM
Vicente Zeballos Salinas,Independiente,Martín Vizcarra,2019-09-30,2020-07-15,PCM
Pedro Cateriano Bellido,Independiente,Martín Vizcarra,2020-07-15,2020-08-06,PCM
Walter Martos Ruiz,Independiente,Martín Vizcarra,2020-08-06,2020-11-10,PCM
Ántero Flores-Aráoz Esparza,Independiente,Manuel Merino,2020-11-11,2020-11-17,PCM
Violeta Bermúdez Valdivia,Independiente,Francisco Sagasti,2020-11-18,2021-07-28,PCM
Guido Bellido Ugarte,Perú Libre,Pedro Castillo,2021-07-29,2021-10-06,PCM
Mirtha Vásquez Chuquilín,Frente Amplio,Pedro Castillo,2021-10-06,2022-01-31,PCM
Héctor Valer Pinto,Somos Perú,Pedro Castillo,2022-02-01,2022-02-08,PCM
Aníbal Torres Vásquez,Independiente,Pedro Castillo,2022-02-08,2022-11-24,PCM
Betssy Chávez Chino,Perú Libre,Pedro Castillo,2022-11-25,2022-12-07,PCM
Pedro Angulo Arana,Independiente,Dina Boluarte,2022-12-10,2022-12-21,PCM
Alberto Otárola Peñaranda,Independiente,Dina Boluarte,2022-12-21,2024-03-05,PCM
Gustavo Adrianzén Olaya,Independiente,Dina Boluarte,2024-03-06,2025-05-13,PCM
Eduardo Arana Ysa,Independiente,Dina Boluarte,2025-05-14,2025-10-10,PCM
Eduardo Arana Ysa,Independiente,José Jerí,2025-10-10,2025-10-12,PCM
Ernesto Álvarez Miranda,Partido Popular Cristiano[13],José Jerí,2025-10-14,2026-02-17,PCM
Ernesto Álvarez Miranda,Partido Popular Cristiano[13],José María Balcázar,2026-02-18,2026-02-24,PCM
Denisse Miralles Miralles,Independiente,José María Balcázar,2026-02-24,2026-03-17,PCM
Luis Arroyo Sánchez,Independiente,José María Balcázar,2026-03-17,2026-05-17,PCM
Juan Manuel del Mar,,Ramón Castilla (2.º gob.),1855-12-01 00:00:00,1856-10-24 00:00:00,Interior
Jervasio Álvarez y Montaño,,Ramón Castilla (2.º gob.),1856-10-24 00:00:00,1856-12-31 00:00:00,Interior
Ignacio de Osma y Ramírez de Arellano[n 1],,Ramón Castilla (2.º gob.),1857-02-14 00:00:00,1857-04-01 00:00:00,Interior
Juan Manuel del Mar,,Ramón Castilla (2.º gob.),1857-04-01 00:00:00,1858-07-13 00:00:00,Interior
Manuel Morales,,Ramón Castilla (2.º gob.),1858-07-13 00:00:00,1859-09-28 00:00:00,Interior
Miguel del Carpio y Melgar,,Ramón Castilla (2.º gob.),1859-09-28 00:00:00,1860-01-31 00:00:00,Interior
José Fabio Melgar Valdivieso,,Ramón Castilla (2.º gob.),1860-01-31 00:00:00,1860-03-29 00:00:00,Interior
Manuel Morales,,Ramón Castilla (2.º gob.),1860-03-29 00:00:00,1862-10-24 00:00:00,Interior
Antonio Arenas,,Miguel de San Román,1862-10-24 00:00:00,1863-04-10 00:00:00,Interior
Manuel Freyre,,Pedro Díez-Canseco (interino),1863-04-10 00:00:00,1863-08-05 00:00:00,Interior
Cipriano Coronel Zegarra,,Juan Antonio Pezet,1863-08-05 00:00:00,1864-08-11 00:00:00,Interior
Manuel Costas Arce,,Juan Antonio Pezet,1864-08-11 00:00:00,1864-10-14 00:00:00,Interior
Evaristo Gómez Sánchez y Benavides,,Juan Antonio Pezet,1864-10-14 00:00:00,1865-11-06 00:00:00,Interior
Francisco Javier Mariátegui y Tellería,,Pedro Díez-Canseco,1865-11-06 00:00:00,1865-11-27 00:00:00,Interior
José María Químper (Secretario),,Mariano Ignacio Prado (1.º gob.),1865-11-27 00:00:00,1867-01-30 00:00:00,Interior
Manuel María Rivas Pereira,,Mariano Ignacio Prado (1.º gob.),1867-01-30 00:00:00,1867-03-02 00:00:00,Interior
Juan Miguel Gálvez,Militar,Mariano Ignacio Prado (1.º gob.),1867-03-02 00:00:00,1867-05-04 00:00:00,Interior
Carlos Lissón,,Mariano Ignacio Prado (1.º gob.),1867-05-04 00:00:00,1867-06-03 00:00:00,Interior
Pedro José Saavedra,,Mariano Ignacio Prado (1.º gob.),1867-06-03 00:00:00,1868-01-26 00:00:00,Interior
Antonio Arenas,,Pedro Díez-Canseco,1868-01-26 00:00:00,1868-02-07 00:00:00,Interior
Antonio Gutiérrez de la Fuente,Militar,Pedro Díez-Canseco,1868-02-07 00:00:00,1868-08-02 00:00:00,Interior
Pedro Gálvez Egúsquiza,,José Balta,1868-08-02 00:00:00,1869-04-13 00:00:00,Interior
Manuel Ferreyros Senra,Marino,José Balta,1869-04-13 00:00:00,1869-07-27 00:00:00,Interior
Rafael Velarde Echevarría,,José Balta,1869-07-27 00:00:00,1869-10-22 00:00:00,Interior
Francisco de Paula Secada,Militar,José Balta,1869-10-22 00:00:00,1870-06-28 00:00:00,Interior
Manuel Santa María,Militar,José Balta,1870-06-28 00:00:00,1872-07-27 00:00:00,Interior
Manuel Morales,,Mariano Herencia Zevallos,1872-07-27 00:00:00,1872-08-02 00:00:00,Interior
Francisco Rosas Balcázar,Partido Civil,Manuel Pardo y Lavalle,1872-08-02 00:00:00,1874-09-28 00:00:00,Interior
Ricardo W. Espinoza Medina,,Manuel Pardo y Lavalle,1874-09-28 00:00:00,1875-02-01 00:00:00,Interior
Aurelio García y García,Marino,Manuel Pardo y Lavalle,1875-02-01 00:00:00,1876-08-02 00:00:00,Interior
Manuel Benavides Canduela,,Mariano Ignacio Prado (2.º gob.),1876-08-02 00:00:00,1876-08-26 00:00:00,Interior
Manuel González de la Cotera,Militar,Mariano Ignacio Prado (2.º gob.),1876-08-26 00:00:00,1877-06-04 00:00:00,Interior
Juan Buendía y Noriega,Militar,Mariano Ignacio Prado (2.º gob.),1877-06-04 00:00:00,1878-06-18 00:00:00,Interior
Fernando Palacios,,Mariano Ignacio Prado (2.º gob.),1878-06-18 00:00:00,1879-10-19 00:00:00,Interior
Manuel Yrigoyen Arias (interino),,Mariano Ignacio Prado (2.º gob.),1878-10-19 00:00:00,1878-10-25 00:00:00,Interior
Bruno Bueno,,Mariano Ignacio Prado (2.º gob.),1878-10-25 00:00:00,1878-12-17 00:00:00,Interior
Juan Corrales Melgar,,Mariano Ignacio Prado (2.º gob.),1878-12-17 00:00:00,1879-05-17 00:00:00,Interior
Rafael Velarde Echevarría,,Mariano Ignacio Prado (2.º gob.),1879-05-17 00:00:00,1879-10-16 00:00:00,Interior
Juan E. Guzmán,,Mariano Ignacio Prado (2.º gob.),1879-10-16 00:00:00,1879-10-28 00:00:00,Interior
Rafael Velarde Echevarría,,Mariano Ignacio Prado (2.º gob.),1879-10-28 00:00:00,1879-10-29 00:00:00,Interior
Aurelio Denegri,Partido Civil,Mariano Ignacio Prado (2.º gob.),1879-10-29 00:00:00,1879-11-01 00:00:00,Interior
Buenaventura Elguera,,Mariano Ignacio Prado (2.º gob.),1879-11-01 00:00:00,1879-12-24 00:00:00,Interior
Nemecio Orbegoso (Secretario),,Nicolás de Piérola (Dictadura),1879-12-24 00:00:00,1881-03-12 00:00:00,Interior
Manuel Velarde Seoane,Militar,Francisco García Calderón,1881-03-12 00:00:00,1882-09-04 00:00:00,Interior
Camilo Carrillo Martínez,Marino,Lizardo Montero,1882-09-04 00:00:00,1883-01-10 00:00:00,Interior
Manuel Velarde Seoane,Militar,Lizardo Montero,1883-01-17 00:00:00,1883-05-29 00:00:00,Interior
Federico Herrera,,Lizardo Montero,1883-05-29 00:00:00,1883-10-25 00:00:00,Interior
Lorenzo Iglesias,,Miguel Iglesias,1883-01-03 00:00:00,1883-08-27 00:00:00,Interior
Martín Dulanto,,Miguel Iglesias,1883-08-27 00:00:00,1883-11-20 00:00:00,Interior
Mariano Castro Zaldívar,,Miguel Iglesias,1883-11-20 00:00:00,1884-04-08 00:00:00,Interior
Ignacio de Osma y Ramírez de Arellano,,Miguel Iglesias,1884-04-08 00:00:00,1884-08-11 00:00:00,Interior
Juan de Aliaga y Puente,,Miguel Iglesias,1884-08-11 00:00:00,1885-05-14 00:00:00,Interior
Joaquín Iglesias,,Miguel Iglesias,1885-05-14 00:00:00,1885-12-03 00:00:00,Interior
José Eusebio Sánchez Pedraza,,Antonio Arenas (Consejo de Ministros),1885-12-03 00:00:00,1886-06-03 00:00:00,Interior
Pedro Alejandrino del Solar,,Andrés A. Cáceres,1886-06-03 00:00:00,1886-10-06 00:00:00,Interior
Manuel Velarde Seoane,Militar,Andrés A. Cáceres,1886-10-06 00:00:00,1886-11-22 00:00:00,Interior
Pedro Alejandrino del Solar,Partido Constitucional,Andrés A. Cáceres,1886-11-22 00:00:00,1887-08-22 00:00:00,Interior
Rufino Torrico,Militar,Andrés A. Cáceres,1887-08-22 00:00:00,1887-10-04 00:00:00,Interior
Enrique Caravedo,,Andrés A. Cáceres,1887-10-04 00:00:00,1887-11-08 00:00:00,Interior
Aurelio Denegri,,Andrés A. Cáceres,1887-11-08 00:00:00,1889-03-08 00:00:00,Interior
José Mariano Jiménez Wald,,Andrés A. Cáceres,1889-03-08 00:00:00,1889-04-04 00:00:00,Interior
Pedro Alejandrino del Solar,Partido Constitucional,Andrés A. Cáceres,1889-04-04 00:00:00,1890-02-11 00:00:00,Interior
Guillermo Ferreyros,Militar,Andrés A. Cáceres,1890-02-11 00:00:00,1890-08-10 00:00:00,Interior
