Titular,Partido,Gobierno,Militar,regime,Categoría,start,end
José Nicolás de Araníbar y Llano,,Andrés Avelino Cáceres (I),,constitutional,CAMBIO_GABINETE,1886-10-06,1886-11-20
Pedro Alejandrino del Solar Gabas,Partido Constitucional,Andrés Avelino Cáceres (I),0.0,constitutional,RENUNCIA_FORZADA,1886-11-22,1887-08-22
Mariano Santos Álvarez Villegas,,Andrés Avelino Cáceres (I),,constitutional,RENUNCIA,1887-08-22,1887-09-12
Carlos María Elías de la Quintana,Partido Constitucional,Andrés Avelino Cáceres (I),0.0,constitutional,CAMBIO_GABINETE,1887-09-12,1887-10-05
Raymundo Morales Arias (interino),,Andrés Avelino Cáceres (I),,constitutional,CAMBIO_GABINETE,1887-10-04,1887-11-08
Aurelio Denegri Valega,,Andrés Avelino Cáceres (I),,constitutional,RENUNCIA,1887-11-08,1889-03-08
José Mariano Jiménez Wald,,Andrés Avelino Cáceres (I),,constitutional,RENUNCIA_FORZADA,1889-03-08,1889-04-03
Pedro Alejandrino del Solar Gabas,Partido Constitucional,Andrés Avelino Cáceres (I),0.0,constitutional,RENUNCIA,1889-04-04,1890-02-10
Manuel Yrigoyen Arias,,Andrés Avelino Cáceres (I),,constitutional,FIN_GOBIERNO,1890-02-11,1890-08-10
Mariano Nicolás Valcárcel Salazar,,Remigio Morales Bermúdez,,constitutional,RENUNCIA_FORZADA,1890-08-10,1891-07-24
Alberto Elmore Fernández de Córdoba (interino),,Remigio Morales Bermúdez,,constitutional,CAMBIO_GABINETE,1891-07-25,1891-08-14
Federico Herrera,Partido Constitucional,Remigio Morales Bermúdez,0.0,constitutional,CAMBIO_GABINETE,1891-08-14,1891-08-24
Justiniano Borgoño Castañeda,Partido Constitucional,Remigio Morales Bermúdez,1.0,constitutional,TRANSICION,1891-08-24,1891-10-14
Federico Herrera (interino),Partido Constitucional,Remigio Morales Bermúdez,0.0,constitutional,CAMBIO_GABINETE,1891-10-14,1891-11-27
Federico Herrera,Partido Constitucional,Remigio Morales Bermúdez,0.0,constitutional,RENUNCIA,1891-11-27,1892-04-14
Juan Ibarra y Ortiz (interino),Militar,Remigio Morales Bermúdez,1.0,constitutional,CAMBIO_GABINETE,1892-04-14,1892-05-02
Juan Ibarra y Ortiz,Militar,Remigio Morales Bermúdez,1.0,constitutional,CAMBIO_GABINETE,1892-05-02,1892-06-30
Carlos María Elías de la Quintana,Partido Constitucional,Remigio Morales Bermúdez,0.0,constitutional,RENUNCIA,1892-06-30,1893-03-03
Manuel Velarde Seoane,Partido Constitucional,Remigio Morales Bermúdez,1.0,constitutional,RENUNCIA,1893-03-03,1893-05-11
José Mariano Jiménez Wald,,Remigio Morales Bermúdez,,constitutional,MUERTE,1893-05-11,1894-04-01
Baltasar García Urrutia Muro,,Justiniano Borgoño Castañeda,,replaceVice,TRANSICION,1894-04-01,1894-08-10
Cesáreo Chacaltana Reyes,,Andrés Avelino Cáceres (II),,constitutional,RENUNCIA,1894-08-10,1894-11-16
Manuel Yrigoyen Arias,Partido Constitucional,Andrés Avelino Cáceres (II),0.0,constitutional,GOLPE_ESTADO,1894-11-16,1895-03-21
Antonio Bentín y La Fuente,Partido Demócrata,Nicolás de Piérola,0.0,constitutional,CENSURA_CONGRESO,1895-09-08,1895-11-28
Manuel Antonio Barinaga,,Nicolás de Piérola,,constitutional,RENUNCIA,1895-11-30,1896-08-05
Manuel Pablo Olaechea Guerrero,Partido Demócrata,Nicolás de Piérola,0.0,constitutional,CAMBIO_GABINETE,1896-08-08,1897-11-03
Alejandro López de Romaña Alvizuri,Partido Demócrata,Nicolás de Piérola,0.0,constitutional,RENUNCIA,1897-11-25,1897-12-23
Enrique de la Riva Agüero,,Nicolás de Piérola,,constitutional,CAMBIO_GABINETE,1897-12-23,1898-05-13
José Jorge Loayza,,Nicolás de Piérola,,constitutional,FIN_GOBIERNO,1898-05-16,1899-09-08
Manuel María Gálvez Egúsquiza,,Eduardo López de Romaña,,constitutional,CENSURA_CONGRESO,1899-09-08,1899-12-14
Enrique de la Riva Agüero,Partido Civil,Eduardo López de Romaña,0.0,constitutional,NEGACION_CONFIANZA,1899-12-14,1900-08-30
