Titular,Partido,Gobierno,Militar,regime,Categoría,start,end
Pedro Cateriano Bellido,Independiente,Ollanta Humala,0.0,constitutional,FIN_GOBIERNO,2015-04-02,2016-07-28
Fernando Zavala Lombardi,Independiente,Pedro Pablo Kuczynski,0.0,constitutional,NEGACION_CONFIANZA,2016-07-28,2017-09-15
Mercedes Aráoz Fernández,Peruanos por el Kambio,Pedro Pablo Kuczynski,0.0,constitutional,RENUNCIA_FORZADA,2017-09-17,2018-03-23
Mercedes Aráoz Fernández,Peruanos por el Kambio,Martín Vizcarra,0.0,replaceVice,CAMBIO_GABINETE,2018-03-23,2018-04-02
César Villanueva Arévalo,Alianza para el Progreso,Martín Vizcarra,0.0,replaceVice,RENUNCIA_VOLUNTARIA,2018-04-02,2019-03-08
Salvador del Solar Labarthe,Independiente,Martín Vizcarra,0.0,replaceVice,RENUNCIA_FORZADA,2019-03-11,2019-09-30
Vicente Zeballos Salinas,Independiente,Martín Vizcarra,0.0,replaceVice,CAMBIO_GABINETE / RENUNCIA_VOLUNTARIA ,2019-09-30,2020-07-15
Pedro Cateriano Bellido,Independiente,Martín Vizcarra,0.0,replaceVice,NEGACION_CONFIANZA,2020-07-15,2020-08-06
Walter Martos Ruiz,Independiente,Martín Vizcarra,1.0,replaceVice,RENUNCIA_FORZADA,2020-08-06,2020-11-10
Ántero Flores-Aráoz Esparza,Independiente,Manuel Merino,0.0,Provisorio,RENUNCIA_FORZADA,2020-11-11,2020-11-17
Violeta Bermúdez Valdivia,Independiente,Francisco Sagasti,0.0,Provisorio,TRANSICION,2020-11-18,2021-07-28
Guido Bellido Ugarte,Perú Libre,Pedro Castillo,0.0,constitutional,RENUNCIA_FORZADA,2021-07-29,2021-10-06
Mirtha Vásquez Chuquilín,Frente Amplio,Pedro Castillo,0.0,constitutional,RENUNCIA_VOLUNTARIA,2021-10-06,2022-01-31
Héctor Valer Pinto,Somos Perú,Pedro Castillo,0.0,constitutional,RENUNCIA_FORZADA,2022-02-01,2022-02-08
Aníbal Torres Vásquez,Independiente,Pedro Castillo,0.0,constitutional,RENUNCIA_VOLUNTARIA,2022-02-08,2022-11-24
Betssy Chávez Chino,Perú Libre,Pedro Castillo,0.0,constitutional,GOLPE_ESTADO,2022-11-25,2022-12-07
Pedro Angulo Arana,Independiente,Dina Boluarte,0.0,replaceVice,CAMBIO_GABINETE,2022-12-10,2022-12-21
Alberto Otárola Peñaranda,Independiente,Dina Boluarte,0.0,replaceVice,RENUNCIA_FORZADA,2022-12-21,2024-03-05
Gustavo Adrianzén Olaya,Independiente,Dina Boluarte,0.0,replaceVice,RENUNCIA_FORZADA,2024-03-06,2025-05-13
Eduardo Arana Ysa,Independiente,Dina Boluarte,0.0,replaceVice,TRANSICION,2025-05-14,2025-10-10
Eduardo Arana Ysa,Independiente,José Jerí,0.0,Provisorio,TRANSICION,2025-10-10,2025-10-12
Ernesto Álvarez Miranda,Partido Popular Cristiano[13],José Jerí,0.0,Provisorio,TRANSICION,2025-10-14,2026-02-17
Ernesto Álvarez Miranda,Partido Popular Cristiano[13],José María Balcázar,0.0,Provisorio,CAMBIO_GABINETE,2026-02-18,2026-02-24
Denisse Miralles Miralles,Independiente,José María Balcázar,0.0,Provisorio,RENUNCIA_FORZADA,2026-02-24,2026-03-17
Luis Arroyo Sánchez,Independiente,José María Balcázar,1.0,Provisorio,TRANSICION,2026-03-17,2026-05-17
